_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25
6169808799f6325ace5f6da2;2021-10-15T13:22:13.022Z;64.74579;20.959072;-0.0013524212;0.019628663;0.020189341;0.020188985
616981b599f6325ace5f6da8;2021-10-15T13:27:13.512Z;64.74579;20.959072;-0.0016626731;0.0;0.0;0.0
616982de99f6325ace5f6dac;2021-10-15T13:32:13.938Z;64.74579;20.959072;-0.001474735;0.0;0.0;0.0
6169840a99f6325ace5f6db3;2021-10-15T13:37:14.420Z;64.74579;20.959072;-9.56712E-4;0.009814353;0.010094693;0.010094515
6169853a99f6325ace5f6db9;2021-10-15T13:42:14.875Z;64.74579;20.959072;-0.0011342611;0.009814353;0.010094693;0.010094515
6169866699f6325ace5f6dbf;2021-10-15T13:47:15.335Z;64.74579;20.959072;-0.0011431386;0.0;0.0;0.0
6169879299f6325ace5f6dc5;2021-10-15T13:52:15.790Z;64.74579;20.959072;-0.0010418574;0.019996395;0.021962687;0.021956863
616988bd99f6325ace5f6dcb;2021-10-15T13:57:16.237Z;64.74579;20.959072;-8.3334296E-4;0.029443057;0.030284079;0.030283544
616989ed99f6325ace5f6dd1;2021-10-15T14:02:16.710Z;64.74579;20.959072;-0.0011280929;0.0;0.0;0.0
61698b1599f6325ace5f6dd8;2021-10-15T14:07:17.161Z;64.74579;20.959072;-0.0015497312;0.009814331;0.010094671;0.010094493
61698c4199f6325ace5f6ddd;2021-10-15T14:12:17.645Z;64.74579;20.959072;-0.0012656373;0.009814353;0.010094693;0.010094515
61698d6e99f6325ace5f6de3;2021-10-15T14:17:18.093Z;64.74579;20.959072;-0.0014548833;0.009814353;0.010094693;0.010094515
61698e9e99f6325ace5f6dea;2021-10-15T14:22:18.587Z;64.74579;20.959072;-0.0010574447;0.009814353;0.010094693;0.010094515
61698fc799f6325ace5f6df0;2021-10-15T14:27:18.996Z;64.74579;20.959072;-0.0011392978;0.009814353;0.010094693;0.010094515
616990f399f6325ace5f6df5;2021-10-15T14:32:19.492Z;64.74579;20.959072;-0.0011433907;0.009814353;0.010094693;0.010094515
6169921f99f6325ace5f6dfb;2021-10-15T14:37:19.928Z;64.74579;20.959072;-0.0011435952;0.009814353;0.010094693;0.010094515
6169934c99f6325ace5f6e00;2021-10-15T14:42:20.404Z;64.74579;20.959072;-1.8689374E-6;0.0;0.0;0.0
6169947999f6325ace5f6e05;2021-10-15T14:47:20.846Z;64.74579;20.959072;-9.847938E-4;0.019628705;0.020189386;0.02018903
616995a599f6325ace5f6e0c;2021-10-15T14:52:21.335Z;64.74579;20.959072;-1.3714065E-4;0.009814331;0.010094671;0.010094493
616996d199f6325ace5f6e12;2021-10-15T14:57:21.783Z;64.74579;20.959072;-0.0012967333;0.02944312;0.030284144;0.03028361
6169980299f6325ace5f6e18;2021-10-15T15:02:22.251Z;64.74579;20.959072;-0.0015581631;0.029443057;0.030284079;0.030283544
6169992c99f6325ace5f6e1f;2021-10-15T15:07:22.689Z;64.74579;20.959072;-0.0010626086;0.009814353;0.010094693;0.010094515
61699a5799f6325ace5f6e26;2021-10-15T15:12:23.164Z;64.74579;20.959072;-2.4275668E-4;0.0;0.0;0.0
61699b8399f6325ace5f6e2b;2021-10-15T15:17:23.652Z;64.74579;20.959072;-0.0015054644;0.009814353;0.010094693;0.010094515
61699cb099f6325ace5f6e32;2021-10-15T15:22:24.083Z;64.74579;20.959072;-9.582484E-4;0.029443057;0.030284079;0.030283544
61699ddc99f6325ace5f6e39;2021-10-15T15:27:24.554Z;64.74579;20.959072;-0.0014395136;0.019628705;0.020189386;0.02018903
61699f0a99f6325ace5f6e3d;2021-10-15T15:32:25.010Z;64.74579;20.959072;-0.0015653021;0.009814353;0.010094693;0.010094515
6169a03699f6325ace5f6e44;2021-10-15T15:37:25.456Z;64.74579;20.959072;-0.0013681412;0.009814331;0.010094671;0.010094493
6169a16199f6325ace5f6e4b;2021-10-15T15:42:25.982Z;64.74579;20.959072;-0.0011548328;0.0;0.0;0.0
6169a28e99f6325ace5f6e50;2021-10-15T15:47:26.407Z;64.74579;20.959072;-0.001347618;0.0;0.0;0.0
6169a3ba99f6325ace5f6e57;2021-10-15T15:52:26.878Z;64.74579;20.959072;-0.0012555319;0.0;0.0;0.0
6169a4e799f6325ace5f6e5e;2021-10-15T15:57:27.329Z;64.74579;20.959072;-0.0012509275;0.029443057;0.030284079;0.030283544
6169a61399f6325ace5f6e63;2021-10-15T16:02:27.770Z;64.74579;20.959072;-0.0014541477;0.009814353;0.010094693;0.010094515
6169a74099f6325ace5f6e6a;2021-10-15T16:07:28.240Z;64.74579;20.959072;-9.556826E-4;0.009814353;0.010094693;0.010094515
6169a86c99f6325ace5f6e71;2021-10-15T16:12:28.708Z;64.74579;20.959072;-0.0015411107;0.009814331;0.010094671;0.010094493
6169a99b99f6325ace5f6e75;2021-10-15T16:17:29.178Z;64.74579;20.959072;-0.0012652064;0.009814353;0.010094693;0.010094515
6169aac899f6325ace5f6e7c;2021-10-15T16:22:29.622Z;64.74579;20.959072;-0.0011496859;0.009814353;0.010094693;0.010094515
6169abf299f6325ace5f6e83;2021-10-15T16:27:30.090Z;64.74579;20.959072;-0.0012456353;0.039257497;0.040378857;0.040378146
6169ad1f99f6325ace5f6e88;2021-10-15T16:32:30.556Z;64.74579;20.959072;-0.0012504326;0.0;0.0;0.0
6169ae4b99f6325ace5f6e8f;2021-10-15T16:37:31.011Z;64.74579;20.959072;-0.0017592988;0.0;0.0;0.0
6169af7899f6325ace5f6e96;2021-10-15T16:42:31.494Z;64.74579;20.959072;-0.0017847425;0.0;0.0;0.0
6169b0a499f6325ace5f6e9b;2021-10-15T16:47:32.000Z;64.74579;20.959072;-0.0017860143;0.009814353;0.010094693;0.010094515
6169b1d099f6325ace5f6ea2;2021-10-15T16:52:32.405Z;64.74579;20.959072;-0.001786078;0.029443057;0.030284079;0.030283544
6169b2fc99f6325ace5f6ea9;2021-10-15T16:57:32.846Z;64.74579;20.959072;-0.0017860809;0.0;0.0;0.0
6169b42999f6325ace5f6ead;2021-10-15T17:02:33.306Z;64.74579;20.959072;-0.0011757297;0.009814353;0.010094693;0.010094515
6169b55599f6325ace5f6eb3;2021-10-15T17:07:33.761Z;64.74579;20.959072;-0.0015521131;0.009814353;0.010094693;0.010094515
