_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25;Timestamp;devAddr
6051fc6099f63279b620ca63;2021-03-17T12:55:56.240Z;64.75068;20.960518;-8.223684E-4;0.21591665;0.22208416;0.22208025;17-03-2021T13:55:56.0204+0100;2,02E+60
6051fd8d99f63279b620ca65;2021-03-17T13:00:56.700Z;64.75068;20.960518;-8.223684E-4;0.07377512;0.077023916;0.077018104;17-03-2021T14:00:56.0660+0100;2,02E+60
6051feb999f63279b620ca67;2021-03-17T13:05:57.166Z;64.75068;20.960518;-8.223684E-4;0.10795856;0.11104232;0.11104036;17-03-2021T14:05:57.0128+0100;2,02E+60
6051ffe499f63279b620ca6a;2021-03-17T13:10:57.619Z;64.75068;20.960518;-8.223684E-4;0.1668447;0.17161049;0.17160746;17-03-2021T14:10:57.0580+0100;2,02E+60
6052011099f63279b620ca6d;2021-03-17T13:15:58.099Z;64.75068;20.960518;-8.223684E-4;0.1472159;0.15142104;0.15141836;17-03-2021T14:15:58.0050+0100;2,02E+60
6052023a99f63279b620ca70;2021-03-17T13:20:58.537Z;64.75068;20.960518;-8.223684E-4;0.16684505;0.17161086;0.17160784;17-03-2021T14:20:58.0500+0100;2,02E+60
6052036899f63279b620ca72;2021-03-17T13:25:58.990Z;64.75068;20.960518;-8.223684E-4;0.10780163;0.11316382;0.11315293;17-03-2021T14:25:58.0954+0100;2,02E+60
6052049499f63279b620ca75;2021-03-17T13:30:59.456Z;64.75068;20.960518;-8.223684E-4;0.24536039;0.25236896;0.2523645;17-03-2021T14:30:59.0417+0100;2,02E+60
605205c099f63279b620ca77;2021-03-17T13:35:59.942Z;64.75068;20.960518;-8.223684E-4;0.22573103;0.23217891;0.23217481;17-03-2021T14:35:59.0908+0100;2,02E+60
605206ec99f63279b620ca7a;2021-03-17T13:41:00.425Z;64.75068;20.960518;-8.223684E-4;0.22573103;0.23217891;0.23217481;17-03-2021T14:41:00.0383+0100;2,02E+60
6052081999f63279b620ca7d;2021-03-17T13:46:00.842Z;64.75068;20.960518;-8.223684E-4;0.26498917;0.27255842;0.27255362;17-03-2021T14:46:00.0805+0100;2,02E+60
6052094599f63279b620ca80;2021-03-17T13:51:01.317Z;64.75068;20.960518;-8.223684E-4;0.16034268;0.16631787;0.1663095;17-03-2021T14:51:01.0280+0100;2,02E+60
60520a7199f63279b620ca83;2021-03-17T13:56:01.769Z;64.75068;20.960518;-8.223684E-4;0.20610271;0.2119899;0.21198615;17-03-2021T14:56:01.0724+0100;2,02E+60
60520b9e99f63279b620ca86;2021-03-17T14:01:02.201Z;64.75068;20.960518;-8.223684E-4;0.20610271;0.2119899;0.21198615;17-03-2021T15:01:02.0161+0100;2,02E+60
60520cca99f63279b620ca88;2021-03-17T14:06:02.709Z;64.75068;20.960518;-8.223684E-4;0.22573152;0.23217942;0.23217532;17-03-2021T15:06:02.0673+0100;2,02E+60
60520df799f63279b620ca8a;2021-03-17T14:11:03.110Z;64.75068;20.960518;-8.223684E-4;0.31406128;0.32303223;0.32302654;17-03-2021T15:11:03.0080+0100;2,02E+60
60520f2599f63279b620ca8d;2021-03-17T14:16:03.596Z;64.75068;20.960518;-8.223684E-4;0.20610271;0.2119899;0.21198615;17-03-2021T15:16:03.0563+0100;2,02E+60
